h1,p
Código Penal AguascalientesArtículo 17. Formas de intervención,"c) Los que cooperan dolosamente en la ejecución de la actividad típica con conductas anteriores o posteriores a la misma, previo acuerdo con el autor o coautores; y"
Código Penal AguascalientesArtículo 17. Formas de intervención,"d) Los que intervinieren dolosamente con otros en la comisión del hecho, aunque no conste cuál de ellos produjo directamente el resultado."
Código Penal AguascalientesArtículo 17. Formas de intervención,"Los autores y partícipes a que se refiere el presente Artículo, responderán cada uno en la medida de su propia culpabilidad."
Código Penal AguascalientesArtículo 17. Formas de intervención,"En los casos de complicidad correspectiva a que se refiere el inciso d) de la Fracción II del presente Artículo, se aplicará a los responsables hasta la mitad de la punibilidad señalada en la descripción típica que corresponda"
Código Penal AguascalientesArtículo 18. Hecho punible emergente,"Si varias personas toman parte en la realización de un hecho punible determinado y alguna de ellas realiza uno distinto, sin existir acuerdo con las otras, todas serán consideradas como inculpados en la comisión del nuevo hecho punible, salvo que concurran los requisitos siguientes:"
Código Penal AguascalientesArtículo 18. Hecho punible emergente,I. Que el nuevo hecho punible no sirva de medio adecuado para cometer el principal o inicial;
Código Penal AguascalientesArtículo 18. Hecho punible emergente,"II. Que el nuevo hecho punible no sea una consecuencia necesaria o natural del principal o inicial, o de los medios utilizados; o"
Código Penal AguascalientesArtículo 18. Hecho punible emergente,III. Que no se haya sabido antes que se iba a cometer el nuevo hecho punible.
Código Penal AguascalientesArtículo 19. Comunicabilidad de las circunstancias,"El aumento, disminución o exclusión de las penas o medidas de seguridad, fundados en las calidades, en las relaciones personales o en las circunstancias subjetivas del autor de un hecho delictivo, no son aplicables a los demás autores, partícipes o cómplices."
Código Penal AguascalientesArtículo 19. Comunicabilidad de las circunstancias,"Son aplicables los que se fundan en circunstancias objetivas, si los demás autores, partícipes o cómplices tienen conocimiento de ellas en el momento de la realización del hecho."
Código Penal AguascalientesArtículo 20. Ausencia de conducta,"No existe conducta cuando se provoca un resultado de afectación o de puesta en peligro concreto por fuerza física irresistible, impedimento físico, movimientos reflejos o cualquier otro caso en que haya ausencia de voluntad del inculpado."
Código Penal AguascalientesArtículo 20. Ausencia de conducta,-
Código Penal AguascalientesArtículo 21. Responsabilidad de personas colectivas,"Cuando algún integrante o representante de una persona jurídica colectiva, con excepción de las instituciones del Estado, facilite los medios para la comisión de un hecho punible, de modo que éste resulte cometido a su nombre, bajo su amparo o en beneficio de ella, los tribunales, con la audiencia del representante legal de aquélla, aplicarán las medidas jurídicas previstas para el efecto por este Código, sin perjuicio de la responsabilidad individual por el o los hechos delictivos cometidos."
Código Penal AguascalientesArtículo 22. La tipicidad,La tipicidad se integra cuando la conducta desplegada por el sujeto activo se adecua a los elementos contenidos en la descripción típica establecida en la norma penal.
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,Se considerará adecuada la conducta a la descripción típica cuando se reúnan los siguientes elementos:
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,I. Bien jurídico tutelado por la figura típica;
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"II. El resultado de afectación o de puesta en peligro concreto del bien jurídico tutelado, y su imputación objetiva a la acción u omisión;"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"III. La acción o movimiento corporal establecida en la figura típica, adecuada para producir el resultado; o la omisión o no realización de una actividad ordenada en la figura típica, adecuada para evitar el resultado;"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"IV. La víctima o sujeto pasivo, titular del bien jurídico tutelado, tomando en cuenta las calidades que requiera la figura típica;"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"V. El inculpado o sujeto activo, por haber ejecutado la acción u omisión como autor o partícipe, tomando en cuenta las calidades que requiera la figura típica;"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"VI. El objeto material, persona o entidad sobre el que recae la conducta establecida en la figura típica;"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"VII. Las referencias de medios, tiempo, lugar, modo y ocasión que pueda requerir la descripción"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,típica;
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,"VIII. Los elementos normativos que puedan exigirse en la particular descripción típica, que requieran un especial juicio de valoración jurídica o cultural; y"
Código Penal AguascalientesArtículo 23. Elementos de la descripción típica,IX. El dolo o la culpa según lo requiera el particular tipo penal.
Código Penal AguascalientesArtículo 24. Atipicidad,No existe tipicidad cuando falte alguno de los elementos que integren la figura típica que corresponda.
Código Penal AguascalientesArtículo 25. Error de tipo,Tampoco existirá tipicidad cuando se ejecute la acción u omisión bajo un error invencible respecto de alguno de los elementos esenciales que integren la figura típica que corresponda
Código Penal AguascalientesArtículo 26. La antijuridicidad,"Un hecho punible se considera antijurídico cuando el inculpado incumple un mandato o viola una prohibición y afecta o pone en peligro concreto un interés jurídicamente tutelado por la figura típica que corresponda, sin estar justificado para actuar de esa manera."
Código Penal AguascalientesArtículo 27. Causas de Justificación,"La realización de una conducta típica y antijurídica, se justifica:"
Código Penal AguascalientesArtículo 27. Causas de Justificación,"I. Cuando exista consentimiento válido del titular del bien jurídico, o del legitimado jurídicamente para otorgarlo, y siempre que el bien jurídico afectado sea de aquellos de que puedan disponer libremente los particulares;"
Código Penal AguascalientesArtículo 27. Causas de Justificación,"II. Cuando se actúa en defensa de bienes jurídicos propios o ajenos, repeliendo una agresión imprevista, actual o inminente, sin derecho, y siempre que exista la necesidad razonable del medio empleado para impedirla o rechazarla, y que no medie provocación suficiente e inmediata por parte del agredido o de la persona a quien se defienda;"
Código Penal AguascalientesArtículo 27. Causas de Justificación,"III. Cuando en situación de peligro grave, actual o inminente, para un bien jurídico, propio o ajeno, se afecte otro bien jurídico de igual o menor jerarquía, para evitar un resultado mayor, siempre que el titular del bien salvado no haya provocado dolosamente el propio peligro y que no se tenga al alcance otro medio utilizable y menos perjudicial;"
Código Penal AguascalientesArtículo 27. Causas de Justificación,"IV. Cuando se afecte a una persona en cumplimiento de un deber jurídico, siempre y cuando no exista el sólo propósito de causarle daño; o"
Código Penal AguascalientesArtículo 27. Causas de Justificación,"V. Cuando se actúa por obediencia legítima y jerárquica, aún cuando la orden constituya comisión de un hecho delictivo, si esta circunstancia no es notoria, ni se prueba que el sujeto activo la conocía, ni era previsible racionalmente."
Código Penal AguascalientesArtículo 27. Causas de Justificación,"Se justificará igualmente la conducta típica y antijurídica, cuando se cause, a la persona o las personas, un daño suficiente para evitar la introducción o los actos idóneos tendientes a introducirse, sin derecho, a su negocio, su hogar o sus dependencias, a los de su familia, a los de cualquier persona que tenga el deber de defender, o al sitio donde se encuentren bienes jurídicos propios o ajenos sobre los que tenga la misma obligación."
Código Penal AguascalientesArtículo 27. Causas de Justificación,"También se justificará la conducta típica y antijurídica, cuando se cause un daño suficiente para evitar cualquier agresión real, actual e inminente, que se cometa en el interior o en las dependencias de una negociación o de una casa habitación."
Código Penal AguascalientesArtículo 27. Causas de Justificación,"Para determinar la relación de suficiencia en los supuestos descritos en los dos párrafos anteriores, se tomará en cuenta la furtividad y la violencia que, sobre las personas o sobre las cosas, haya ejercido el agresor para introducirse al inmueble o que ejerza para mantenerse dentro de él."
Código Penal AguascalientesArtículo 27. Causas de Justificación,"En los casos de exceso de legítima defensa se impondrá una cuarta parte de la sanción prevista para el delito de que se trate, quedando subsistente la imputación a título doloso."
Código Penal AguascalientesArtículo 28. La culpabilidad,"Para que la conducta típica y antijurídica pueda ser considerada delictiva, debe además realizarse culpablemente."
Código Penal AguascalientesArtículo 28. La culpabilidad,"La culpabilidad consiste en el juicio de reproche que formula la autoridad judicial al inculpado, por ser éste imputable, haya realizado la conducta típica y antijurídica conociendo la ilicitud de su actuar, y se encontraba en condiciones de actuar sin contrariar la norma penal."
Código Penal AguascalientesArtículo 29. Imputabilidad,"Es imputable la persona que tiene capacidad para comprender la naturaleza e ilicitud de la conducta que realizó, y conducirse con base a esa comprensión"
Código Penal AguascalientesArtículo 30. Inimputabilidad y acción libre en su causa,"Si el inculpado, al realizar la conducta típica productora del resultado de afectación o de puesta en peligro concreto, padece trastorno mental o se encuentra en una etapa de desarrollo intelectual retardado, que le impida comprender el carácter ilícito del hecho o conducirse de acuerdo a esa comprensión, atendiendo a las peculiaridades de su personalidad y a las circunstancias específicas de su comportamiento, los tribunales, tomando en cuenta opinión médica especializada sobre las características personales de tal inculpado, ordenará la aplicación de una medida de seguridad."
Código Penal AguascalientesArtículo 30. Inimputabilidad y acción libre en su causa,Lo dispuesto en el párrafo anterior no se aplica en los casos en que el inculpado hubiere provocado dolosamente su estado de trastorno mental en cuyo caso se considerará imputable y responderá por el resultado típico producido en tal situación
"Código Penal AguascalientesArtículo 31. Inculpabilidad, error de prohibición y no exigibilidad de otra conducta",No se formulará juicio de reproche al inculpado que:
"Código Penal AguascalientesArtículo 31. Inculpabilidad, error de prohibición y no exigibilidad de otra conducta","I. Realice la conducta típica y antijurídica, bajo miedo o temor de un mal actual y grave, sea o no provocado por el actuar de un tercero;"
"Código Penal AguascalientesArtículo 31. Inculpabilidad, error de prohibición y no exigibilidad de otra conducta","II. Realice la conducta típica y antijurídica, bajo un error invencible sobre la ilicitud de la conducta, ya sea porque desconozca la existencia de la norma o su alcance, o porque crea que está justificada su conducta; o"
"Código Penal AguascalientesArtículo 31. Inculpabilidad, error de prohibición y no exigibilidad de otra conducta","III. Cuando razonablemente no pueda exigírsele una conducta diversa, en virtud de no haberse podido conducir conforme a derecho."
Código Penal AguascalientesArtículo 32. Punibilidad en caso de errores vencibles,"Los errores previstos en los Artículos 25 y 31 de este Código se considerarán vencibles si las condiciones personales del inculpado y las circunstancias en que se encontraba le permitían advertir con facilidad su falsa apreciación de la realidad, para salir de su error."
Código Penal AguascalientesArtículo 32. Punibilidad en caso de errores vencibles,Cuando los errores a que se refiere el presente capítulo sean vencibles:
Código Penal AguascalientesArtículo 32. Punibilidad en caso de errores vencibles,"I. La sanción será la establecida en la figura típica culposa, si el hecho de que se trata admite tal configuración; o"
Código Penal AguascalientesArtículo 32. Punibilidad en caso de errores vencibles,"II. En caso de que el hecho no admita configuración culposa, se aplicará al responsable hasta la mitad de la punibilidad prevista en la figura típica de que se trate."
Código Penal AguascalientesArtículo 33. Concurso ideal de delitos,Existe concurso ideal cuando con una sola conducta se producen varios resultados de afectación o de puesta en peligro concreto.
Código Penal AguascalientesArtículo 34. Concurso real de delitos,Existe concurso real cuando con pluralidad de conductas se producen varios resultados de afectación o de puesta en peligro concreto. No hay concurso en los casos de delito continuado
Código Penal AguascalientesArtículo 35. Punibilidad en concurso de delitos,"En los casos de concurso ideal, se tendrá en cuenta la punibilidad correspondiente a la figura típica que establezca la mayor, la cual se aumentará hasta en una mitad más del máximo de su duración."
Código Penal AguascalientesArtículo 35. Punibilidad en concurso de delitos,"En los casos de concurso real, se impondrán las penas descritas en cada figura típica demostrada, unificándose las mismas en una sola, para efectos de ejecución."
Código Penal AguascalientesArtículo 36. Tentativa Punible,"Existe tentativa punible cuando la resolución de provocar un resultado lesivo se exterioriza realizando los actos idóneos que deberían producirlo u omitiendo los adecuados que deberían evitarlo, si aquél no se consuma por causas ajenas a la voluntad del inculpado, pero se provoca con ello la puesta en peligro concreto del bien jurídico protegido por la norma."
Código Penal AguascalientesArtículo 36. Tentativa Punible,"Para la aplicación de penas o medidas de seguridad en los casos de tentativa, los tribunales tendrán en cuenta el grado a que se hubiese llegado en la ejecución del hecho de contenido doloso."
Código Penal AguascalientesArtículo 36. Tentativa Punible,"Si el inculpado desiste espontáneamente de la realización de la conducta o impide la consumación del hecho punible, no se le impondrá sanción por lo que a éste se refiere, a menos que las conductas ejecutadas por sí mismas constituyan hechos punibles diversos, en cuyo caso se le impondrá la pena o medida de seguridad señalada para éstos."
Código Penal AguascalientesArtículo 37. Punibilidad en tentativa,"En los casos de tentativa, la punibilidad establecida en la figura típica del hecho que el inculpado quiso realizar, se reducirá a la mitad en sus mínimos y máximos."
Código Penal AguascalientesArtículo 38. Exclusión de punibilidad,"Cuando el responsable hubiese sufrido consecuencias graves en su persona, tenga 60 años cumplidos, padezca enfermedad grave e incurable en estado avanzado, o tenga precario estado de salud, que hicieran notoriamente innecesaria o irracional la aplicación de una pena privativa o restrictiva de la libertad, el juez podrá prescindir de ella."
Código Penal AguascalientesArtículo 38. Exclusión de punibilidad,"Si se trata de un hecho punible culposo cometido en contra de un ascendiente o descendiente consanguíneo en línea recta, hermano, cónyuge, concubino, adoptante o adoptado del responsable, o cuando el responsable en ocasión de un hecho punible culposo haya sufrido un daño moral de difícil reparación, el juez podrá prescindir de la aplicación de penas privativas o restrictivas de libertad. Esta disposición no se considerará si el responsable en el momento de la realización del hecho, se encontrare bajo el efecto de bebidas embriagantes o narcóticos, o no auxiliare debidamente a las víctimas."
Código Penal AguascalientesArtículo 39. Individualización de las sanciones,"El juez al dictar la sentencia que corresponda, fijará las sanciones que estime justas dentro de los límites señalados en cada figura típica, teniendo en cuenta los aspectos objetivos y subjetivos del hecho, la afectación o puesta en peligro concreto del bien jurídico, las circunstancias de modo, tiempo y lugar de realización, los motivos determinantes de la conducta, la forma de intervención, la relación víctima victimario, y las demás circunstancias que determinen la gravedad del hecho y la culpabilidad del responsable."
Código Penal AguascalientesArtículo 39. Individualización de las sanciones,"Para la adecuada aplicación de las sanciones, el juzgador deberá tomar conocimiento directo del inculpado y de la víctima, así como de las circunstancias de realización del hecho punible."
Código Penal AguascalientesArtículo 40. Las Penas,Las penas que pueden imponerse son:
Código Penal AguascalientesArtículo 40. Las Penas,I. Prisión;
Código Penal AguascalientesArtículo 40. Las Penas,II. Multa;
Código Penal AguascalientesArtículo 40. Las Penas,III. Decomiso;
Código Penal AguascalientesArtículo 40. Las Penas,IV. Reparación del daño; y
Código Penal AguascalientesArtículo 40. Las Penas,"V. Suspensión, privación o inhabilitación de derechos"
Código Penal AguascalientesArtículo 41. La prisión,"La Prisión consiste en la privación de la libertad personal del responsable, con la posibilidad de imposición de trabajo y estudio obligatorios, y se ejecutará en los establecimientos o lugares y con las modalidades que al efecto señale el presente Código y la Ley de Ejecución de Sanciones Penales del Estado de Aguascalientes."
Código Penal AguascalientesArtículo 41. La prisión,"Tan pronto como un sentenciado a pena de prisión ingrese a un establecimiento, se le realizará un estudio de su personalidad y se establecerá un programa de reinserción social, teniendo en cuenta los datos obtenidos sobre sus necesidades individuales, su capacidad y sus intereses."
Código Penal AguascalientesArtículo 41. La prisión,"Para efecto de este Código, la reinserción social se entenderá como un conjunto de condiciones y bases del respeto a los derechos humanos, del trabajo, capacitación para el mismo, educación, salud y deporte como medios para garantizar el desarrollo social del sentenciado, procurando que no vuelva a delinquir y lleve una vida de respeto a la norma, en términos del Artículo 18 de la Constitución Política de los Estados Unidos Mexicanos y el derecho internacional en materia de derechos humanos del que el Estado Mexicano sea parte."
Código Penal AguascalientesArtículo 41. La prisión,"En toda pena de prisión, se computará el tiempo de la prisión preventiva a favor del sentenciado"
Código Penal AguascalientesArtículo 42. Efectos de la prisión,"La Pena de Prisión produce la Suspensión de los derechos políticos, así como los de tutela, curatela, apoderado, defensor, albacea, perito, depositario, interventor, síndico o representante de ausentes, y dejará de surtir sus efectos al momento en que la autoridad ejecutora dé por cumplida la referida pena de prisión, sea por compurgación total o por obtención de beneficios, y se informará de ello, mediante oficio, a las autoridades que hayan tenido conocimiento de tal situación."
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"La pena de prisión puede ser sustituida por el juez, en procesos seguidos por hechos punibles no considerados de prisión preventiva oficiosa por el Código Nacional de Procedimientos Penales, atendiendo a las condiciones personales del sentenciado, por:"
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"I. Multa o trabajo en favor de la comunidad, cuando no exceda de dos años;"
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"II. Trabajo en favor de la comunidad, cuando no exceda de tres años;"
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"III. Tratamiento en libertad, cuando no exceda de cuatro años; y"
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"IV. Semilibertad, cuando no exceda de cinco años."
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"En el caso de la Fracción I, cuando se opte por la sustitución de la pena de prisión por multa, aquella podrá ser sustituida de uno a dos tantos de la multa impuesta como pena en la sentencia que corresponda."
Código Penal AguascalientesArtículo 43. Sustitutivos de prisión,"La multa que resulte de la sustitución es independiente de la establecida, en su caso, como pena. Ambas deben pagarse totalmente para que proceda la sustitución."
Código Penal AguascalientesArtículo 44. Trabajo en favor de la comunidad,"El trabajo en favor de la comunidad consiste en la prestación de servicios no remunerados, en instituciones públicas educativas o de asistencia social o en instituciones privadas asistenciales. Este trabajo se llevará a cabo en jornadas dentro de periodos distintos al horario de las labores que representen la fuente de ingreso para la subsistencia del sujeto y de su familia, sin que pueda exceder de la jornada extraordinaria que determine la ley laboral y bajo la orientación y vigilancia de la autoridad ejecutora. Por ningún concepto se desarrollara este trabajo en forma que resulte degradante o humillante para el condenado."
Código Penal AguascalientesArtículo 44. Trabajo en favor de la comunidad,"El trabajo en favor de la comunidad puede ser sustitutivo tanto de la prisión o de la multa. Cada día de prisión o cada día multa, podrá ser sustituido por una jornada de trabajo en favor de la comunidad."
Código Penal AguascalientesArtículo 44. Trabajo en favor de la comunidad,"La jornada de trabajo tendrá una duración de tres horas. El número de jornadas de trabajo a favor de la comunidad serán fijadas por el Juez de Ejecución tomando en cuenta las circunstancias del caso, pero no podrán exceder de la correspondiente a la pena de prisión sustituida."
Código Penal AguascalientesArtículo 45. Tratamiento en libertad,"El tratamiento en libertad consiste en la aplicación de las medidas laborales, educativas, curativas y deportivas conducentes a la reinserción social del sentenciado, bajo la orientación y el cuidado de la autoridad ejecutora. Su duración no podrá exceder de la correspondiente a la pena de prisión sustituida"
Código Penal AguascalientesArtículo 46. Semilibertad,"La Semilibertad implica alternación de períodos de privación de libertad y de tratamiento en libertad, y su duración no podrá exceder de la correspondiente a la pena de prisión sustituida."
Código Penal AguascalientesArtículo 46. Semilibertad,"Se ejecutará según las circunstancias del caso, y en las instalaciones propias y construidas para el efecto, del siguiente modo:"
Código Penal AguascalientesArtículo 46. Semilibertad,"I. Externación durante la jornada de trabajo o educativa, con reclusión de fin de semana;"
Código Penal AguascalientesArtículo 46. Semilibertad,II. Salida de fin de semana con reclusión durante el resto de ésta; o
Código Penal AguascalientesArtículo 46. Semilibertad,"III. Salida diurna con reclusión nocturna, o viceversa"
